,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
2218,Bobby Portis,postup,3,Playoffs,12.0,1.2,11.83,1.27,1.13,65.0,2.8,2.8,2.8,65.03,32.0
2219,James Michael McAdoo,postup,2,Playoffs,10.0,0.2,16.7,1.5,0.0,25.0,50.0,0.0,0.0,75.0,0.0
2220,Bradley Beal,postup,3,Playoffs,8.0,0.4,1.73,1.35,0.37,69.0,4.8,4.8,4.8,69.87,0.0
2221,Alec Burks,postup,2,Playoffs,4.0,0.5,3.45,1.67,0.7,83.0,0.0,0.0,0.0,83.5,0.0
2222,RJ Barrett,postup,1,Playoffs,5.0,0.2,1.4,2.0,0.4,100.0,0.0,0.0,0.0,100.0,0.0
2223,Tacko Fall,postup,1,Playoffs,2.0,0.5,50.0,2.0,1.0,100.0,0.0,0.0,0.0,100.0,0.0
2224,Gordon Hayward,postup,3,Playoffs,8.0,0.43,2.93,1.0,0.6,53.0,20.8,25.0,20.8,50.0,0.0
2225,Luke Kennard,postup,1,Playoffs,15.0,0.1,1.4,2.0,0.1,100.0,0.0,0.0,0.0,100.0,0.0
2226,Nicolas Batum,postup,2,Playoffs,12.0,0.15,1.2,1.0,0.05,50.0,0.0,0.0,0.0,50.0,0.0
2227,Robin Lopez,postup,3,Playoffs,5.0,0.93,18.3,1.47,1.17,81.0,3.3,11.7,3.3,73.33,31.0
2228,Rudy Gobert,postup,5,Playoffs,8.0,0.62,5.62,0.95,0.6,54.0,12.1,10.5,12.1,50.76,4.0
2229,Taurean Prince,postup,1,Playoffs,6.0,0.2,1.6,2.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2230,Marquese Chriss,postup,1,Playoffs,5.0,0.4,25.0,2.0,0.8,0.0,100.0,0.0,0.0,100.0,0.0
2231,Richard Jefferson,postup,1,Playoffs,14.0,0.1,1.7,2.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2232,Vlatko Cancar,postup,2,Playoffs,4.0,0.35,18.35,2.0,0.7,50.0,50.0,0.0,50.0,100.0,0.0
2233,Nene,postup,2,Playoffs,8.0,0.5,8.35,1.44,0.65,75.0,6.2,6.2,0.0,75.0,0.0
2234,Rodions Kurucs,postup,1,Playoffs,4.0,0.3,4.2,2.0,0.5,100.0,0.0,0.0,0.0,100.0,0.0
